Date,Open,High,Low,Close,Adj Close,Volume
2023-06-22,322.000000,323.440002,320.359985,321.040009,321.040009,339000
2023-06-23,320.000000,321.040009,316.589996,316.820007,316.820007,795700
2023-06-26,315.000000,320.000000,313.869995,319.239990,319.239990,398200
2023-06-27,320.000000,326.049988,320.000000,324.929993,324.929993,406800
2023-06-28,324.630005,325.989990,322.790009,325.519989,325.519989,697800
2023-06-29,325.670013,333.630005,325.670013,330.730011,330.730011,616300
2023-06-30,332.000000,337.160004,331.269989,336.989990,336.989990,503700
2023-07-03,334.709991,338.369995,331.320007,336.660004,336.660004,343000
2023-07-05,335.549988,335.750000,331.619995,334.959991,334.959991,540900
2023-07-06,332.260010,334.679993,328.029999,333.910004,333.910004,467600
2023-07-07,333.260010,344.700012,332.440002,341.679993,341.679993,685000
2023-07-10,341.989990,351.630005,341.989990,347.410004,347.410004,729100
2023-07-11,346.700012,350.820007,346.700012,349.790009,349.790009,479400
2023-07-12,398.899994,409.950012,381.239990,388.589996,388.589996,2752000
2023-07-13,390.709991,393.329987,385.480011,386.869995,386.869995,1087700
2023-07-14,387.660004,389.399994,382.950012,384.660004,384.660004,628300
2023-07-17,385.779999,392.619995,383.209991,389.739990,389.739990,589900
2023-07-18,391.000000,393.779999,388.329987,392.290009,392.290009,545400
2023-07-19,396.589996,397.720001,388.760010,392.329987,392.329987,442600
2023-07-20,393.160004,393.250000,385.239990,387.829987,387.829987,593800
2023-07-21,388.399994,389.660004,384.480011,385.440002,385.440002,770900
2023-07-24,400.000000,401.769989,383.230011,385.899994,385.899994,1985000
2023-07-25,387.510010,399.690002,387.000000,397.049988,397.049988,1026000
2023-07-26,396.299988,405.000000,394.809998,401.359985,401.359985,937000
2023-07-27,400.399994,406.309998,397.140015,402.579987,402.579987,644300
2023-07-28,405.899994,406.119995,399.790009,400.880005,400.880005,461100
2023-07-31,400.230011,401.529999,394.149994,396.739990,396.739990,614900
2023-08-01,396.579987,401.309998,394.019989,399.649994,399.649994,571500
2023-08-02,398.320007,401.859985,395.049988,398.299988,398.299988,419000
2023-08-03,397.260010,403.899994,395.510010,401.359985,401.359985,573700
2023-08-04,403.059998,403.059998,394.600006,395.359985,395.359985,420900
2023-08-07,396.600006,399.600006,395.359985,398.690002,398.690002,382400
2023-08-08,397.359985,398.910004,394.149994,398.010010,398.010010,347000
2023-08-09,400.000000,402.079987,396.130005,396.220001,396.220001,491000
2023-08-10,397.019989,400.940002,395.450012,398.399994,398.399994,341700
2023-08-11,396.640015,396.700012,392.559998,394.170013,394.170013,333900
2023-08-14,393.510010,397.890015,391.000000,397.589996,397.589996,412100
2023-08-15,396.059998,397.750000,392.799988,393.820007,393.820007,269800
2023-08-16,392.170013,393.519989,389.000000,389.109985,389.109985,338000
2023-08-17,389.850006,390.410004,381.779999,382.299988,382.299988,377800
2023-08-18,380.450012,382.609985,377.500000,378.829987,378.829987,387700
2023-08-21,377.660004,381.519989,375.709991,379.880005,379.880005,366000
2023-08-22,379.869995,384.910004,379.480011,379.720001,379.720001,352000
2023-08-23,380.619995,384.429993,380.250000,382.619995,382.619995,305900
2023-08-24,380.510010,383.209991,378.820007,378.859985,378.859985,309300
2023-08-25,380.869995,382.559998,376.170013,380.720001,380.720001,383500
2023-08-28,381.279999,390.260010,381.059998,388.250000,388.250000,544800
2023-08-29,386.130005,390.100006,385.359985,386.170013,386.170013,403000
2023-08-30,386.820007,395.459991,386.820007,394.190002,394.190002,425800
2023-08-31,395.000000,396.500000,387.089996,387.399994,387.399994,519300
2023-09-01,390.829987,391.890015,388.059998,391.140015,391.140015,339400
